adjectives
ripe
crisp
mature
tropical
rich
sweet
herbal
full-bodied
fresh
exotic
floral
honeyed
fruity
smooth
soft
bright
vibrant
elegant
dry
earthy
rubbery
tannic
aromatic
savory
meaty
vanilla
candied
toasted
rare
delicate
smoky
bitter
ginger
fragrant
layered
intense
traditional
nutty
balanced
lemony
citric
rose
well-known
little-known
