variety,description,description_split
Marsanne-Roussanne,22,22
Marsanne-Viognier,2,2
Marselan,4,4
Marzemino,3,3
Mataro,10,10
Maturana,6,6
Mauzac,7,7
Mavrodaphne,5,5
Mavrud,7,7
Mazuelo,4,4
Melnik,3,3
Melon,280,280
Mencía,178,178
Meritage,260,260
Merlot,3102,3102
Merlot-Cabernet,11,11
Merlot-Cabernet Franc,23,23
Merlot-Cabernet Sauvignon,35,35
Merlot-Malbec,6,6
Merlot-Syrah,2,2
Merlot-Tannat,3,3
Mission,7,7
Monastrell,147,147
Monastrell-Petit Verdot,2,2
Monastrell-Syrah,21,21
Mondeuse,15,15
Monica,4,4
Montepulciano,215,215
Morillon,7,7
Morio Muskat,2,2
Moscadello,6,6
Moscatel,57,57
Moscatel Graúdo,2,2
Moscatel Roxo,6,6
Moscatel de Alejandría,3,3
Moscato,358,358
Moscato Giallo,16,16
Moscato Rosa,2,2
Moschofilero,36,36
Mourvèdre,229,229
Mourvèdre-Syrah,3,3
Mtsvane,5,5
Muscadelle,10,10
Muscadine,2,2
Muscat,132,132
Muscat Blanc,12,12
Muscat Blanc à Petits Grains,3,3
Muscat Canelli,36,36
Muscat Hamburg,4,4
Muscat d'Alexandrie,3,3
Muscat of Alexandria,3,3
Muscatel,3,3
Muskat,4,4
Muskat Ottonel,23,23
Muskateller,5,5
Müller-Thurgau,46,46
Narince,7,7
Nascetta,7,7
Nasco,2,2
Nebbiolo,2804,2804
Negrette,17,17
Negroamaro,80,80
Nerello Cappuccio,6,6
Nerello Mascalese,117,117
Nero d'Avola,365,365
Nero di Troia,19,19
Neuburger,11,11
Nielluciu,3,3
Norton,16,16
Nosiola,8,8
Nuragus,3,3
Okuzgozu,8,8
Orange Muscat,20,20
Other,2,2
Pallagrello,10,10
Pallagrello Bianco,5,5
Pallagrello Nero,5,5
Palomino,18,18
Pansa Blanca,14,14
Papaskarasi,3,3
Passerina,24,24
Pecorino,54,54
Pedro Ximénez,42,42
Perricone,10,10
Petit Manseng,57,57
Petit Verdot,269,269
Petite Sirah,770,770
Petite Verdot,30,30
Picolit,27,27
Picpoul,18,18
Piedirosso,20,20
Pigato,2,2
Pignoletto,4,4
Pinot Auxerrois,13,13
Pinot Bianco,154,154
Pinot Blanc,442,442
Pinot Blanc-Chardonnay,4,4
Pinot Grigio,1052,1052
Pinot Gris,1455,1455
Pinot Meunier,45,45
Pinot Nero,181,181
Pinot Noir,13272,13272
Pinot Noir-Gamay,18,18
Pinot Noir-Syrah,3,3
Pinot-Chardonnay,6,6
Pinotage,137,137
Plavac Mali,17,17
Plyto,2,2
Port,668,668
Portuguese Red,2466,2466
Portuguese Rosé,16,16
Portuguese Sparkling,65,65
Portuguese White,1159,1159
Portuguiser,2,2
Posip,8,8
Poulsard,3,3
Prieto Picudo,15,15
Primitivo,222,222
Prié Blanc,6,6
Prosecco,236,236
Provence red blend,64,64
Provence white blend,36,36
Prugnolo Gentile,43,43
Pugnitello,3,3
Rabigato,2,2
Raboso,16,16
Rara Neagra,2,2
Rebo,2,2
Rebula,3,3
Red Blend,8946,8946
Refosco,11,11
Rhône-style Red Blend,1471,1471
Rhône-style White Blend,425,425
Ribolla Gialla,87,87
Rieslaner,6,6
Riesling,5189,5189
Rivaner,3,3
Rkatsiteli,33,33
Robola,4,4
Roditis,4,4
Rolle,4,4
Romorantin,3,3
Rosado,77,77
Rosato,103,103
Rosenmuskateller,2,2
Rosé,3564,3564
Roter Traminer,6,6
Roter Veltliner,13,13
Rotgipfler,26,26
Roussanne,168,168
Roussanne-Marsanne,5,5
Roussanne-Viognier,13,13
Roviello,2,2
Ruché,12,12
Rufete,2,2
Sacy,2,2
Sagrantino,104,104
Sangiovese,2707,2707
Sangiovese Cabernet,4,4
Sangiovese Grosso,751,751
Sangiovese-Cabernet Sauvignon,6,6
Sangiovese-Syrah,5,5
Saperavi,37,37
Saperavi-Merlot,2,2
Sauvignon,316,316
Sauvignon Blanc,4967,4967
Sauvignon Blanc-Chardonnay,8,8
Sauvignon Blanc-Chenin Blanc,4,4
Sauvignon Blanc-Semillon,68,68
Sauvignon Blanc-Verdejo,4,4
Sauvignon Gris,14,14
Savagnin,22,22
Savatiano,5,5
Scheurebe,25,25
Schiava,23,23
Sciaccerellu,5,5
Semillon-Chardonnay,5,5
Semillon-Sauvignon Blanc,53,53
Seyval Blanc,16,16
Sherry,100,100
Shiraz,836,836
Shiraz-Cabernet,3,3
Shiraz-Cabernet Sauvignon,39,39
Shiraz-Grenache,15,15
Shiraz-Malbec,3,3
Shiraz-Mourvèdre,3,3
Shiraz-Tempranillo,2,2
Shiraz-Viognier,38,38
Silvaner,39,39
